,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
EIF4E,1.0,1.0,0.454113275635722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KIAA1598,1.0,1.0,0.486191797359845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC12A6,1.0,1.0,0.410833063965432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RHBDF1,1.0,1.0,1.0,1.0,0.529490909564106,1.0,1.0,1.0,1.0,0.5428408901552545,1.0
NCOA7,1.0,1.0,0.45734716199226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"USF1, USF2",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.532779104047279,1.0
SYNM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.433884410341857,1.0
NSRP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4550177568585155,1.0
PA2G4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.386226836739364,1.0
TRAM1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.522273417948688,1.0
KDM5A,1.0,0.593655104869362,1.0,0.329911335508719,1.0,1.0,0.399113702694822,1.0,1.0,0.382674512943363,1.0
PRKCD,1.0,1.0,0.1917790426112635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HEATR3,0.526469210273585,0.508881305939842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RB1,1.0,1.0,0.554368467177223,1.0,1.0,1.0,1.0,1.0,1.0,0.481018180430377,1.0
PBK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.310285705446764,1.0
BET1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.153928520805256,1.0
CDCA3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.50618263272614,1.0
MDM2,1.0,1.0,1.0,0.367684032462153,1.0,1.0,0.591999935378354,1.0,0.367684032462153,0.479041783288999,1.0
UBA1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.529233546716026,1.0
MICALL1,0.500245359672905,1.0,1.0,1.0,0.577533515506172,1.0,1.0,1.0,1.0,1.0,1.0
DIP2B,1.0,1.0,0.498430213028452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
